code,name,department,semester,faculty,year,credits,createdAt,id
"156601","Machine Learning (ML)","CSE(Networks)","6","Dr. Ajay Kumar","2022","4","2025-12-02T18:30:00.000Z","43"
"156602","Wireless Networks (WN)","CSE(Networks)","6","Mr. Sandeep Kumar","2022","3","2025-12-02T18:30:00.000Z","44"
"156603","Ad Hoc and Sensor Networks (ASN)","CSE(Networks)","6","Dr. Intyaz Alam","2022","3","2025-12-02T18:30:00.000Z","45"
"156604","AI and Ethics","CSE(Networks)","6","Mr. Chandan Kumar","2022","1","2025-12-02T18:30:00.000Z","46"
"156610","PEC-II (Internet and Intranet Engineering)","CSE(Networks)","6","Mr. Rajnish Kumar","2022","3","2025-12-02T18:30:00.000Z","47"
"156615","PEC-III (IoT and its Applications)","CSE(Networks)","6","Mr. Chandan Kumar","2022","3","2025-12-02T18:30:00.000Z","48"
"105401","Computer Organization & Architecture (COA)","Computer Science","4","Dr. Intyaz Alam","2023","3","2025-12-02T18:30:00.000Z","49"
"105402","Design and Analysis of Algorithms (DAA)","Computer Science","4","Mr. Rajnish Kumar","2023","3","2025-12-02T18:30:00.000Z","50"
"105403","Operating System (OS)","Computer Science","4","Mr. Chandan Kumar","2023","3","2025-12-02T18:30:00.000Z","51"
"100404","Discrete Mathematics (DM)","CSE(Networks)","4","Dr. Rajnesh Kumar","2023","4","2025-12-02T18:30:00.000Z","52"
"100403","Digital Electronics (DE)","Computer Science","4","Ms. Nasreen Khan","2023","3","2025-12-02T18:30:00.000Z","53"
"100407","Human Resource Development and Organization Behavior","Computer Science","4","Mrs. Annu Kumari","2023","3","2025-12-02T18:30:00.000Z","54"
"152301","Digital Electronics","Computer Science","3","Mrs. Shweta Kumari","2024","3","2025-12-02T18:30:00.000Z","55"
"152302","Data Structure & Algorithm","Computer Science","3","Dr. Ajay Kumar","2024","3","2025-12-02T18:30:00.000Z","56"
"152303","Object Oriented Programming Using JAVA","Computer Science","3","Dr. Intyaz Alam","2024","3","2025-12-02T18:30:00.000Z","57"
"152304","Discrete Mathematics and Graph Theory","Computer Science","3","Dr. Rajnesh Kumar","2024","4","2025-12-02T18:30:00.000Z","58"
"152305","Operating System","Computer Science","3","Mr. Chandan Kumar","2024","3","2025-12-02T18:30:00.000Z","59"
"152306","Universal Human Values","Computer Science","3","","2024","3","2025-12-02T18:30:00.000Z","60"
"100102","Engineering Mathematics-I","Computer Science","1","Dr. Jitendra Kumar Dubey","2025","4","2025-12-02T18:30:00.000Z","61"
"100110","Engineering Physics","Computer Science","1","Dr. Nitaj Kumar Rai","2025","3","2025-12-02T18:30:00.000Z","62"
"100111","Programming for Problem Solving","Computer Science","1","Dr. Intyaz Alam","2025","3","2025-12-02T18:30:00.000Z","63"
"100113","IT Workshop","Computer Science","1","Mr. Sandeep Kumar","2025","2","2025-12-02T18:30:00.000Z","64"
"100114","Basic Electronics Engineering","Computer Science","1","Mr. Ram Pratap Singh","2025","3","2025-12-02T18:30:00.000Z","65"
"100115","Swachha Bharat Mission (SBM)","Computer Science","1","Mr. Sikander Singh","2025","3","2025-12-02T18:30:00.000Z","66"
"156702","Social Network Mining","CSE(Networks)","7","Dr. Ajay Kumar","4","3","2025-12-11T10:12:13.256Z","68"
"100743","Principles of Management","CSE(Networks)","7","Mr. Sandeep Kumar","4","3","2025-12-11T10:12:45.737Z","69"
"100739","Robotics and Robot Application","CSE(Networks)","7","Mr. Chandan Kumar","4","3","2025-12-11T10:13:10.708Z","70"
"100708","Biology for Engineers","CSE(Networks)","7","Dr. Punit Tiwari","4","3","2025-12-11T10:24:28.137Z","71"
